Test #45 (Nodes: 10000, Elements: 10000): Tree Creation - 1097875 ns, DFS - 8458 ns, BFS - 81291 ns, List Creation - 306417 ns
Test #46 (Nodes: 10000, Elements: 10000): Tree Creation - 1036292 ns, DFS - 8417 ns, BFS - 81334 ns, List Creation - 330208 ns
Test #47 (Nodes: 10000, Elements: 10000): Tree Creation - 1084709 ns, DFS - 8625 ns, BFS - 81208 ns, List Creation - 303167 ns
Test #48 (Nodes: 10000, Elements: 10000): Tree Creation - 1104292 ns, DFS - 8500 ns, BFS - 81375 ns, List Creation - 308208 ns
Test #49 (Nodes: 10000, Elements: 10000): Tree Creation - 1064458 ns, DFS - 8250 ns, BFS - 81500 ns, List Creation - 310250 ns
Test #50 (Nodes: 10000, Elements: 10000): Tree Creation - 1087375 ns, DFS - 8333 ns, BFS - 81291 ns, List Creation - 312166 ns
Test #51 (Nodes: 10000, Elements: 10000): Tree Creation - 1067750 ns, DFS - 8417 ns, BFS - 81167 ns, List Creation - 300167 ns
Test #52 (Nodes: 10000, Elements: 10000): Tree Creation - 1053083 ns, DFS - 8375 ns, BFS - 81334 ns, List Creation - 308625 ns
Test #53 (Nodes: 10000, Elements: 10000): Tree Creation - 1083292 ns, DFS - 8709 ns, BFS - 81292 ns, List Creation - 287333 ns
Test #54 (Nodes: 10000, Elements: 10000): Tree Creation - 1118459 ns, DFS - 8375 ns, BFS - 81250 ns, List Creation - 287250 ns
Test #55 (Nodes: 10000, Elements: 10000): Tree Creation - 1059625 ns, DFS - 8625 ns, BFS - 81250 ns, List Creation - 284750 ns
Test #56 (Nodes: 10000, Elements: 10000): Tree Creation - 1077250 ns, DFS - 8333 ns, BFS - 81291 ns, List Creation - 290167 ns
Test #57 (Nodes: 10000, Elements: 10000): Tree Creation - 1097542 ns, DFS - 8417 ns, BFS - 81459 ns, List Creation - 305542 ns
Test #58 (Nodes: 10000, Elements: 10000): Tree Creation - 1054291 ns, DFS - 8167 ns, BFS - 81000 ns, List Creation - 300459 ns
Test #59 (Nodes: 10000, Elements: 10000): Tree Creation - 1068166 ns, DFS - 8000 ns, BFS - 81167 ns, List Creation - 307459 ns
Test #60 (Nodes: 10000, Elements: 10000): Tree Creation - 1065417 ns, DFS - 8625 ns, BFS - 81417 ns, List Creation - 302500 ns
Test #61 (Nodes: 10000, Elements: 10000): Tree Creation - 1273042 ns, DFS - 8417 ns, BFS - 81541 ns, List Creation - 334125 ns
Test #62 (Nodes: 10000, Elements: 10000): Tree Creation - 1066500 ns, DFS - 8375 ns, BFS - 81250 ns, List Creation - 292709 ns
Test #63 (Nodes: 10000, Elements: 10000): Tree Creation - 1100875 ns, DFS - 8375 ns, BFS - 81292 ns, List Creation - 301708 ns
Test #64 (Nodes: 10000, Elements: 10000): Tree Creation - 1062875 ns, DFS - 8500 ns, BFS - 81250 ns, List Creation - 289500 ns
Test #65 (Nodes: 10000, Elements: 10000): Tree Creation - 1024375 ns, DFS - 8291 ns, BFS - 81250 ns, List Creation - 282625 ns
Test #66 (Nodes: 10000, Elements: 10000): Tree Creation - 1055375 ns, DFS - 7916 ns, BFS - 81333 ns, List Creation - 280416 ns
Test #67 (Nodes: 10000, Elements: 10000): Tree Creation - 1069125 ns, DFS - 7792 ns, BFS - 81167 ns, List Creation - 280792 ns
Test #68 (Nodes: 10000, Elements: 10000): Tree Creation - 1102167 ns, DFS - 7875 ns, BFS - 81292 ns, List Creation - 288667 ns
Test #69 (Nodes: 10000, Elements: 10000): Tree Creation - 1038625 ns, DFS - 7958 ns, BFS - 81041 ns, List Creation - 287375 ns
Test #70 (Nodes: 10000, Elements: 10000): Tree Creation - 1090042 ns, DFS - 7875 ns, BFS - 81375 ns, List Creation - 286459 ns
Test #71 (Nodes: 10000, Elements: 10000): Tree Creation - 1093959 ns, DFS - 8125 ns, BFS - 81208 ns, List Creation - 306584 ns
Test #72 (Nodes: 10000, Elements: 10000): Tree Creation - 1102417 ns, DFS - 8167 ns, BFS - 81167 ns, List Creation - 295042 ns
Test #73 (Nodes: 10000, Elements: 10000): Tree Creation - 1112500 ns, DFS - 7958 ns, BFS - 99416 ns, List Creation - 370541 ns
Test #74 (Nodes: 10000, Elements: 10000): Tree Creation - 1035375 ns, DFS - 8417 ns, BFS - 81250 ns, List Creation - 294083 ns
Test #75 (Nodes: 10000, Elements: 10000): Tree Creation - 1056250 ns, DFS - 21042 ns, BFS - 84584 ns, List Creation - 298209 ns
Test #76 (Nodes: 10000, Elements: 10000): Tree Creation - 1021792 ns, DFS - 8417 ns, BFS - 81333 ns, List Creation - 297292 ns
Test #77 (Nodes: 10000, Elements: 10000): Tree Creation - 1075791 ns, DFS - 8500 ns, BFS - 81584 ns, List Creation - 296333 ns
